movieInfo,star,title
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...;
                            1998 / 意大利 / 剧情 音乐
                        ;
                                ;
                            ",,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇
"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...;
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        ;
                                ;
                            ",,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港)
"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...;
                            2009 / 美国 英国 / 剧情
                        ;
                                ;
                            ",,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港)
"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...;
                            2004 / 法国 瑞士 德国 / 剧情 音乐
                        ;
                                ;
                            ",,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩
"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...;
                            1995 / 香港 中国大陆 / 动作 冒险 喜剧 奇幻 爱情
                        ;
                                ;
                            ",,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...;
                            1972 / 美国 / 剧情 犯罪
                        ;
                                ;
                            ",,教父 / The Godfather / Mario Puzo's The Godfather
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...;
                            1988 / 日本 / 动画 奇幻
                        ;
                                ;
                            ",,龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗
"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...;
                            1998 / 美国 / 剧情 科幻
                        ;
                                ;
                            ",,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏
"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 克...;
                            1940 / 美国 / 剧情 爱情 战争
                        ;
                                ;
                            ",,乱世佳人 / Gone with the Wind / 飘
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...;
                            1988 / 意大利 法国 / 剧情 爱情
                        ;
                                ;
                            ",,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台)
"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...;
                            2011 / 法国 / 剧情 喜剧
                        ;
                                ;
                            ",,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台)
"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...;
                            2006 / 美国 / 剧情 传记 家庭
                        ;
                                ;
                            ",,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐
"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...;
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
                        ;
                                ;
                            ",,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台)
"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...;
                            2011 / 韩国 / 剧情
                        ;
                                ;
                            ",,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡
"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生;
                            2002 / 香港 / 剧情 犯罪 悬疑
                        ;
                                ;
                            ",,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou
